Company.Nav Customer No,Company,Company.Customer Status,Company.Company name,Company.Country.Region,Company.Country.Sub Region,Company.Country,"Company.Closed, last invoice date", 2 022,Dev22-23, 2 023,Dev23-24, 2 024,Dev24-25,"2,025.00",Year to date,Last 12 months,Last year to date,Last financial year,Company.Invoice Type,Company.Region + Tier,Company.Operator,Balance,Balance NOT Due,Due 1-30 days,Due 31-60 days,Due 61-90 days,Due > 90 days,Record ID (System),Company.Fleet Size,Company.Customer Since,Company.Currency
COM13082,SPOT REISEN GmbH DWC-LLC - United Arab Emirates,PotCust,SPOT REISEN GmbH DWC-LLC,Asia,Middle East,United Arab Emirates - AE - Asia,, 52 892,3%, 54 533,-82%, 9 811,-100%,0.00,0.00,0.00,0.00,0.00,New FSP,APAC5,FSP,0.00,0.00,0.00,0.00,0.00,0.00,1347,0,2016-11-01,USD
COM13084,Voepass - Linhas Aéreas - Brazil,Quarantine,Voepass - Linhas Aéreas,Americas,"America, Latin and the Caribbean",Brazil - BR - Americas,, 312 823,14%, 356 954,10%, 391 448,-75%,"97,760.00",0.00,0.00,"97,760.00","97,760.00",Standard,AME4,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1348,13,2018-10-01,USD
COM13093,DORNIER AVIATION Nigeria AIEP (DANA) - Nigeria,Customer,DORNIER AVIATION Nigeria AIEP (DANA),Africa,Africa Sub-Saharan,Nigeria - NG - Africa,, 61 785,8%, 66 958,28%, 85 443,-13%,"74,347.00","40,891.00","75,973.00","39,265.00","74,347.00",Old,AFR5,GA-BA,"18,651.00",0.00,0.00,"18,651.00",0.00,0.00,1349,7,2017-03-01,USD
COM13099,"FLY ONE S.R.L - Moldova, Republic of",Customer,FLY ONE S.R.L,Europe,Europe Eastern,"Moldova, Republic of - MD - Europe",, 186 157,19%, 221 813,29%, 287 077,69%,"485,695.00","347,257.00","610,033.00","222,918.00","485,695.00",Standard,EUR4,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1350,15,2016-11-01,EUR
COM13104,Fly Easy - Tunisia,NonCust,Fly Easy,Africa,Africa Northern,Tunisia - TN - Africa,, 251 603,5%, 265 147,-89%, 28 351,-100%,0.00,0.00,0.00,0.00,0.00,Standard,AFR3,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1351,0,2018-04-12,EUR
COM13106,Sleepwell Aviation ltd - United Kingdom of Great Britain and Northern Ireland,PotCust,Sleepwell Aviation ltd,Europe,Europe Northern,United Kingdom of Great Britain and Northern Ireland - GB - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Old,,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1352,0,2016-11-01,EUR
COM13107,Quick Link Aviation - United Arab Emirates,Customer,Quick Link Aviation,Asia,Middle East,United Arab Emirates - AE - Asia,, 157 108,-19%, 126 990,22%, 155 428,9%,"168,915.00","103,033.00","171,254.00","100,694.00","168,915.00",New FSP,APAC5,FSP,0.00,0.00,0.00,0.00,0.00,0.00,1353,4,2017-01-01,USD
COM13115,AFRICAN EXPRESS AIRWAYS - Kenya,PotCust,AFRICAN EXPRESS AIRWAYS,Africa,Africa Sub-Saharan,Kenya - KE - Africa,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1354,0,2016-11-01,USD
COM13116,Pioneers Aviation services Ltd - Saudi Arabia,PotCust,Pioneers Aviation services Ltd,Asia,Middle East,Saudi Arabia - SA - Asia,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,New FSP,,FSP,0.00,0.00,0.00,0.00,0.00,0.00,1355,0,2017-01-01,EUR
COM13118,Sunrise Airways S.A. - Haiti,PotCust,Sunrise Airways S.A.,Americas,"America, Latin and the Caribbean",Haiti - HT - Americas,, 59 935,3%, 61 463,-82%, 11 058,-100%,0.00,0.00,0.00,0.00,0.00,Standard,AME5,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1356,3,2017-02-01,USD
COM13119,ClearWay Handling and Operations - Latvia,Customer,ClearWay Handling and Operations,Europe,Europe Northern,Latvia - LV - Europe,, 59 150,-12%, 51 906,1%, 52 466,32%,"69,217.00","59,110.00","94,826.00","33,501.00","69,217.00",New FSP,EUR5,FSP,0.00,0.00,0.00,0.00,0.00,0.00,1357,2,2016-12-01,EUR
COM13121,SAUDIA - Saudi Arabia,PotCust,SAUDIA,Asia,Middle East,Saudi Arabia - SA - Asia,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1358,0,,USD
COM13123,FLY GAC - Denmark,PotCust,FLY GAC,Europe,Europe Northern,Denmark - DK - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,FSP,0.00,0.00,0.00,0.00,0.00,0.00,1359,0,2018-06-01,EUR
COM13124,UKRAINIAN WINGS - Ukraine,Customer,UKRAINIAN WINGS,Europe,Europe Eastern,Ukraine - UA - Europe,,  21,-100%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,EUR5,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1360,1,2017-04-01,USD
COM13125,Fly Baghdad - Iraq,Quarantine,Fly Baghdad,Asia,Middle East,Iraq - IQ - Asia,, 222 662,34%, 298 729,-100%,  ,100%,"54,429.00","57,243.00","57,243.00","54,429.00","54,429.00",Old,APAC4,AIRL,"58,234.00",0.00,0.00,0.00,"58,234.00",0.00,1361,8,2017-07-01,USD
COM13126,Tango Limited - Seychelles,Customer,Tango Limited,Africa,Africa Sub-Saharan,Seychelles - SC - Africa,, 44 671,25%, 55 949,-16%, 46 750,19%,"55,594.00","35,427.00","57,918.00","33,103.00","55,594.00",New FSP,AFR5,FSP,"9,169.00",0.00,"3,740.00","5,429.00",0.00,0.00,1362,0,2017-04-01,EUR
COM13129,Mediterranean Aviation Services - United Arab Emirates,Customer,Mediterranean Aviation Services,Asia,Middle East,United Arab Emirates - AE - Asia,, 48 279,31%, 63 147,-11%, 56 434,-16%,"47,359.00","29,279.00","57,642.00","18,996.00","47,359.00",Old FSP,APAC5,FSP,0.00,0.00,0.00,0.00,0.00,0.00,1363,0,2017-04-01,USD
COM13139,Jung Sky - Croatia,Customer,Jung Sky,Europe,Europe Southern,Croatia - HR - Europe,, 36 870,32%, 48 623,-2%, 47 853,-6%,"45,068.00","28,426.00","47,214.00","26,280.00","45,068.00",Standard,EUR5,GA-BA,"4,062.00",0.00,"4,062.00",0.00,0.00,0.00,1364,2,2017-03-01,EUR
COM13141,SOUTHERN CROSS INTERNATIONAL - Netherlands,Customer,SOUTHERN CROSS INTERNATIONAL,Europe,Europe Western,Netherlands - NL - Europe,, 43 352,28%, 55 593,-9%, 50 619,3%,"52,081.00","30,598.00","53,409.00","29,269.00","52,081.00",New FSP,EUR5,FSP,0.00,0.00,0.00,0.00,0.00,0.00,1365,0,2017-03-01,EUR
COM13142,Air Libya - Libya,Customer,Air Libya,Africa,Africa Northern,Libya - LY - Africa,, 153 794,47%, 226 541,-20%, 182 222,-4%,"174,261.00","116,541.00","206,931.00","83,871.00","174,261.00",Old,AFR4,AIRL,"115,996.00",0.00,0.00,"115,996.00",0.00,0.00,1366,4,2017-02-01,USD
COM13149,Flight Assist LTD - United Kingdom of Great Britain and Northern Ireland,Customer,Flight Assist LTD,Europe,Europe Northern,United Kingdom of Great Britain and Northern Ireland - GB - Europe,, 78 096,-28%, 56 496,-4%, 54 236,0%,"54,467.00","33,493.00","54,513.00","33,447.00","54,467.00",New FSP,EUR5,FSP,"6,199.00",0.00,"6,199.00",0.00,0.00,0.00,1367,0,2017-06-01,EUR
COM13152,sprouts GmbH - Germany,Customer,sprouts GmbH,Europe,Europe Western,Germany - DE - Europe,, 336 679,19%, 401 814,4%, 418 816,8%,"450,904.00","255,418.00","466,992.00","239,330.00","450,904.00",New FSP,EUR5,FSP,"36,757.00",0.00,"36,757.00",0.00,0.00,0.00,1368,0,2017-08-01,EUR
COM13154,Fly2Sky OOD - Bulgaria,Customer via,Fly2Sky OOD,Europe,Europe Eastern,Bulgaria - BG - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1369,0,2017-04-01,EUR
COM13157,FLYADEAL - Saudi Arabia,Customer,FLYADEAL,Asia,Middle East,Saudi Arabia - SA - Asia,, 970 991,21%,1 172 827,22%,1 432 846,15%,"1,652,797.00","1,116,738.00","1,803,367.00","966,168.00","1,652,797.00",Standard,APAC3,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1370,40,2017-08-01,USD
COM13165,Abu Dhabi Aviation - United Arab Emirates,Customer,Abu Dhabi Aviation,Asia,Middle East,United Arab Emirates - AE - Asia,, 198 886,33%, 265 230,21%, 320 369,6%,"339,859.00","165,384.00","290,318.00","214,925.00","339,859.00",Standard,APAC4,AIRL,"23,173.00",0.00,"23,173.00",0.00,0.00,0.00,1371,11,2018-03-01,USD
COM13173,SoftwareOne - Germany,PotCust,SoftwareOne,Europe,Europe Western,Germany - DE - Europe,, 95 946,-100%,  ,0%, 56 305,-67%,"18,388.00",0.00,0.00,"18,388.00","18,388.00",Old,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1372,1,2012-06-01,EUR
COM13185,Gullwing Aviation Luftfahrtservice e. K. - Germany,Customer,Gullwing Aviation Luftfahrtservice e. K.,Europe,Europe Western,Germany - DE - Europe,, 27 764,38%, 38 253,8%, 41 354,7%,"44,395.00","36,801.00","36,801.00","44,395.00","44,395.00",Old,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1373,4,2017-07-01,EUR
COM13191,SkyOne FZE (Terra Avia) (OMEGA AIR) - United Arab Emirates,Customer,SkyOne FZE (Terra Avia) (OMEGA AIR),Asia,Middle East,United Arab Emirates - AE - Asia,, 97 385,-36%, 62 319,21%, 75 266,49%,"112,202.00","91,658.00","150,067.00","53,794.00","112,202.00",New FSP,APAC5,FSP,"14,469.00",0.00,"14,469.00",0.00,0.00,0.00,1374,0,2017-07-01,EUR
COM13197,"Concierge U Ltd, t/a Jet Concierge Club - United Kingdom of Great Britain and Northern Ireland",PotCust,"Concierge U Ltd, t/a Jet Concierge Club",Europe,Europe Northern,United Kingdom of Great Britain and Northern Ireland - GB - Europe,, 416 036,-82%, 75 897,-100%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1375,0,2017-09-01,EUR
COM13203,Jetbee Czech s.r.o. - Czechia,Customer,Jetbee Czech s.r.o.,Europe,Europe Eastern,Czechia - CZ - Europe,, 73 996,9%, 80 537,32%, 106 369,4%,"111,112.00","79,307.00","125,604.00","64,815.00","111,112.00",Standard,EUR5,GA-BA,"13,158.00",0.00,"13,158.00",0.00,0.00,0.00,1376,4,2017-09-01,EUR
COM13210,Blackbird Air A/S - Denmark,Customer,Blackbird Air A/S,Europe,Europe Northern,Denmark - DK - Europe,, 144 971,6%, 154 042,-16%, 130 030,64%,"213,460.00","178,649.00","274,572.00","117,536.00","213,460.00",Standard,EUR4,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1377,7,2017-10-31,EUR
COM13211,WINGS OF LEBANON - Lebanon,PotCust,WINGS OF LEBANON,Asia,Middle East,Lebanon - LB - Asia,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Old,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1378,0,2017-12-01,EUR
COM13218,ELANG LINTAS INDONESIA - Indonesia,NonCust,ELANG LINTAS INDONESIA,Asia,Asia South-eastern,Indonesia - ID - Asia,, 50 485,-32%, 34 578,5%, 36 358,-49%,"18,397.00",0.00,0.00,"18,397.00","18,397.00",Old,APAC4,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1379,1,2018-03-01,USD
COM13220,ROYAL AIR Charter Service Inc - Philippines,Customer,ROYAL AIR Charter Service Inc,Asia,Asia South-eastern,Philippines - PH - Asia,, 132 810,-7%, 123 821,-16%, 104 250,-3%,"100,748.00","72,246.00","119,834.00","53,160.00","100,748.00",Standard,APAC5,AIRL,"10,486.00",0.00,"10,486.00",0.00,0.00,0.00,1380,3,2017-11-01,USD
COM13223,Pike Aviation S.A. - Uruguay,Customer,Pike Aviation S.A.,Americas,"America, Latin and the Caribbean",Uruguay - UY - Americas,, 49 556,0%, 49 691,7%, 53 340,-5%,"50,915.00","29,590.00","47,960.00","32,545.00","50,915.00",New FSP,AME5,FSP,0.00,0.00,0.00,0.00,0.00,0.00,1381,0,2018-08-01,USD
COM13225,CAE AVIATION Luxembourg - Luxembourg,NonCust,CAE AVIATION Luxembourg,Europe,Europe Western,Luxembourg - LU - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,1382,0,,EUR
COM13226,Air Hollandia B.V. - Netherlands,NonCust,Air Hollandia B.V.,Europe,Europe Western,Netherlands - NL - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1383,0,,EUR
COM13228,Bravo Airways - Ukraine,PotCust,Bravo Airways,Europe,Europe Eastern,Ukraine - UA - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1384,0,,EUR
COM13232,"Zimbabwe Airways (PVT), Ltd. - Zimbabwe",PotCust,"Zimbabwe Airways (PVT), Ltd.",Africa,Africa Sub-Saharan,Zimbabwe - ZW - Africa,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1385,0,,USD
COM13236,WAMOS AIR - Spain,PotCust,WAMOS AIR,Europe,Europe Southern,Spain - ES - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1386,13,,EUR
COM13238,Nolinor Aviation - Canada,Customer,Nolinor Aviation,Americas,"America, Northern",Canada - CA - Americas,, 325 604,8%, 352 031,14%, 399 866,-17%,"331,500.00","203,807.00","329,341.00","205,965.00","331,500.00",Standard,AME4,AIRL,"36,562.00",0.00,"36,562.00",0.00,0.00,0.00,1387,10,2019-02-01,USD
COM13240,ATA AIRLINES - Iran (Islamic Republic of),NonCust,ATA AIRLINES,Asia,Middle East,Iran (Islamic Republic of) - IR - Asia,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1388,0,,USD
COM13241,Pia Kaltenberger (Bluesky) - Germany,Customer,Pia Kaltenberger (Bluesky),Europe,Europe Western,Germany - DE - Europe,, 65 169,6%, 69 110,7%, 73 636,12%,"82,750.00","50,316.00","87,551.00","45,515.00","82,750.00",New FSP,EUR5,FSP,"-6,787.00",0.00,0.00,0.00,"-6,787.00",0.00,1389,3,2018-02-01,EUR
COM13242,AMC AIRLINES - Egypt,PotCust,AMC AIRLINES,Africa,Africa Northern,Egypt - EG - Africa,,  ,0%,  ,0%, 36 229,-100%,0.00,0.00,0.00,0.00,0.00,Standard,AFR5,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1390,1,2023-11-30,EUR
COM13243,YALLAFLY AIRWAYS S.A - Morocco,PotCust,YALLAFLY AIRWAYS S.A,Africa,Africa Northern,Morocco - MA - Africa,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1391,0,,EUR
COM13245,Longtail Aviation International Ltd. - Bermuda,PotCust,Longtail Aviation International Ltd.,Americas,"America, Northern",Bermuda - BM - Americas,, 177 417,-73%, 47 433,-100%,  ,100%,"11,806.00","21,419.00","29,114.00","4,111.00","11,806.00",Standard,AME5,AIRL,"6,553.00",0.00,"6,553.00",0.00,0.00,0.00,1392,1,2024-11-22,USD
COM13247,TIMBIS AIR SERVICES - Kenya,PotCust,TIMBIS AIR SERVICES,Africa,Africa Sub-Saharan,Kenya - KE - Africa,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1393,0,,EUR
COM13249,FLYBOSNIA d.o.o. - Bosnia and Herzegovina,PotCust,FLYBOSNIA d.o.o.,Europe,Europe Southern,Bosnia and Herzegovina - BA - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1394,0,2018-12-01,EUR
COM13250,Volkswagen AirService GmbH - Germany,Customer,Volkswagen AirService GmbH,Europe,Europe Western,Germany - DE - Europe,, 110 632,7%, 118 878,-7%, 110 282,15%,"126,963.00","151,740.00","217,696.00","61,006.00","126,963.00",Old,EUR4,GA-BA,"-4,888.00",0.00,0.00,0.00,0.00,"-4,888.00",1395,6,2014-02-01,EUR
COM13257,3Plex Aero Ltd - Malta,PotCust,3Plex Aero Ltd,Europe,Europe Southern,Malta - MT - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1396,0,,EUR
COM13254,GETJET AIRLINES - Lithuania,Customer,GETJET AIRLINES,Europe,Europe Northern,Lithuania - LT - Europe,, 574 619,19%, 681 961,1%, 687 522,16%,"797,234.00","578,886.00","948,189.00","427,932.00","797,234.00",Standard,EUR4,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1397,12,2018-01-01,EUR
COM13255,LOT Polish Airlines S.A. - Poland,PotCust,LOT Polish Airlines S.A.,Europe,Europe Eastern,Poland - PL - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1398,0,,EUR
COM13256,VALAIR - Portugal,Customer,VALAIR,Europe,Europe Southern,Portugal - PT - Europe,, 72 816,6%, 77 019,16%, 89 363,14%,"101,478.00","45,430.00","88,076.00","58,832.00","101,478.00",Standard,EUR5,GA-BA,"6,826.00",0.00,"6,826.00",0.00,0.00,0.00,1399,6,2018-04-01,EUR
,,,,,,,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,1401,,,
COM13266,LUMIWINGS S.A. - Greece,Quarantine,LUMIWINGS S.A.,Europe,Europe Southern,Greece - GR - Europe,, 71 568,16%, 82 919,15%, 94 975,-61%,"37,325.00",0.00,"8,297.00","29,027.00","37,325.00",Standard,EUR5,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1402,1,2018-06-01,EUR
COM13269,SkyUp Airlines - Ukraine,Customer,SkyUp Airlines,Europe,Europe Eastern,Ukraine - UA - Europe,,  ,-100%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,EUR5,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1403,10,2018-05-01,EUR
COM13272,AVIOSTART - Bulgaria,Customer,AVIOSTART,Europe,Europe Eastern,Bulgaria - BG - Europe,, 27 228,11%, 30 279,-2%, 29 647,-21%,"23,555.00","14,857.00","24,676.00","13,736.00","23,555.00",Standard,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1404,3,2020-12-16,EUR
COM13274,Tayaran Jet JSCo - Bulgaria,PotCust,Tayaran Jet JSCo,Europe,Europe Eastern,Bulgaria - BG - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1405,0,2018-03-01,EUR
COM13278,Life Line Ltd - Greece,Customer,Life Line Ltd,Europe,Europe Southern,Greece - GR - Europe,, 53 340,9%, 58 076,39%, 80 479,15%,"92,536.00","58,366.00","96,941.00","53,960.00","92,536.00",Standard,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1406,5,2018-03-01,EUR
COM13285,VOYAGE AIR - Bulgaria,PotCust,VOYAGE AIR,Europe,Europe Eastern,Bulgaria - BG - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1407,0,2019-04-01,EUR
COM13289,BAHAMASAIR - Bahamas,PotCust,BAHAMASAIR,Americas,"America, Latin and the Caribbean",Bahamas - BS - Americas,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,AME4,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1408,9,,USD
COM13291,AIR HORIZONT - Malta,Customer,AIR HORIZONT,Europe,Europe Southern,Malta - MT - Europe,, 142 123,21%, 172 327,13%, 195 271,27%,"248,922.00","129,433.00","241,761.00","136,594.00","248,922.00",Standard,EUR5,AIRL,"17,235.00",0.00,"17,235.00",0.00,0.00,0.00,1409,6,2018-06-01,EUR
COM13292,BAE Systems Marine Ltd. - United Kingdom of Great Britain and Northern Ireland,Customer via,BAE Systems Marine Ltd.,Europe,Europe Northern,United Kingdom of Great Britain and Northern Ireland - GB - Europe,, 124 134,-4%, 118 970,-100%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1410,5,2019-02-01,EUR
COM13294,CHRONO JET INC. - Canada,Customer,CHRONO JET INC.,Americas,"America, Northern",Canada - CA - Americas,, 238 038,5%, 249 836,14%, 285 976,-25%,"214,565.00","90,861.00","151,336.00","154,090.00","214,565.00",Standard,AME5,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1411,2,2020-03-01,USD
COM13295,AERONEXUS CORPORATE - United Kingdom of Great Britain and Northern Ireland,PotCust,AERONEXUS CORPORATE,Europe,Europe Northern,United Kingdom of Great Britain and Northern Ireland - GB - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1412,0,,EUR
COM13296,AVIA BUSINESS GROUP - Russian Federation,Quarantine,AVIA BUSINESS GROUP,Europe,Europe Eastern,Russian Federation - RU - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1413,0,,EUR
COM13299,RAF AVIA - Latvia,Customer,RAF AVIA,Europe,Europe Northern,Latvia - LV - Europe,, 42 673,31%, 56 108,0%, 56 084,-43%,"31,837.00","21,441.00","33,692.00","19,586.00","31,837.00",Standard,EUR4,AIRL,"3,064.00",0.00,"3,064.00",0.00,0.00,0.00,1414,3,2021-07-01,EUR
COM13310,JSC UVT AERO - Russian Federation,Quarantine,JSC UVT AERO,Europe,Europe Eastern,Russian Federation - RU - Europe,, 26 833,-100%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1415,0,2019-03-01,EUR
COM13314,ROBUST ANALYTICS - United States of America,PotCust,ROBUST ANALYTICS,Americas,"America, Northern",United States of America - US - Americas,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Old,,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1416,0,2017-05-01,USD
COM13319,Caspian Airlines - Iran (Islamic Republic of),NonCust,Caspian Airlines,Asia,Middle East,Iran (Islamic Republic of) - IR - Asia,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1417,0,,EUR
COM13321,LAM MOZAMBIQUE - Mozambique,Quarantine,LAM MOZAMBIQUE,Africa,Africa Sub-Saharan,Mozambique - MZ - Africa,, 63 216,41%, 89 010,41%, 125 275,-38%,"77,866.00","28,389.00","45,737.00","60,517.00","77,866.00",Standard,AFR5,AIRL,"27,894.00",0.00,"3,823.00","3,823.00","3,823.00","16,426.00",1418,8,2019-06-01,USD
COM13322,Ghodawat Enterprises Pvt Ltd (Star Air India) - India,Customer,Ghodawat Enterprises Pvt Ltd (Star Air India),Asia,Asia Southern,India - IN - Asia,, 91 932,102%, 185 847,46%, 270 926,19%,"323,508.00","138,002.00","326,060.00","135,451.00","323,508.00",Old,APAC4,AIRL,"163,113.00",0.00,0.00,"150,145.00","12,968.00",0.00,1419,10,2018-10-01,EUR
COM13327,ATA CONCEPT GmbH - Switzerland,NonCust,ATA CONCEPT GmbH,Europe,Europe Western,Switzerland - CH - Europe,, 33 410,-65%, 11 728,-100%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1420,0,2018-08-01,EUR
COM13328,AIR LEAP - Sweden,NonCust,AIR LEAP,Europe,Europe Northern,Sweden - SE - Europe,, 9 846,-100%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1421,0,2018-09-01,EUR
COM13332,Alexandria Airlines - Egypt,Customer via,Alexandria Airlines,Africa,Africa Northern,Egypt - EG - Africa,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1422,2,,EUR
COM13337,PSI AIR 2007 - Philippines,PotCust,PSI AIR 2007,Asia,Asia South-eastern,Philippines - PH - Asia,, 54 598,-84%, 8 518,-100%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1423,0,2021-03-22,USD
COM13341,Avincis Aviation Norway (Ex Babcock Norway) - Norway,PotCust,Avincis Aviation Norway (Ex Babcock Norway),Europe,Europe Northern,Norway - NO - Europe,, 122 848,33%, 163 958,4%, 171 274,-75%,"43,658.00",0.00,0.00,"43,658.00","43,658.00",Standard,EUR4,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1424,12,2020-01-01,EUR
COM13342,Passionair - Ghana,Customer,Passionair,Africa,Africa Sub-Saharan,Ghana - GH - Africa,, 133 063,-24%, 100 653,26%, 126 659,-16%,"106,557.00","65,541.00","127,014.00","45,085.00","106,557.00",Old,AFR5,AIRL,"32,768.00",0.00,0.00,"32,768.00",0.00,0.00,1425,4,2020-07-01,USD
COM13343,ENDEAVOUR AVIATION - Côte d'Ivoire,PotCust,ENDEAVOUR AVIATION,Africa,Africa Sub-Saharan,Côte d'Ivoire - CI - Africa,, 37 840,5%, 39 800,-100%,  ,0%,0.00,0.00,0.00,0.00,0.00,Old,AFR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1426,3,2018-09-01,EUR
COM13354,TEXEL AIR - Bahrain,Customer,TEXEL AIR,Asia,Middle East,Bahrain - BH - Asia,, 184 031,93%, 355 659,104%, 726 209,14%,"825,916.00","531,782.00","882,083.00","475,615.00","825,916.00",Standard,APAC4,AIRL,"75,409.00",0.00,"75,409.00",0.00,0.00,0.00,1427,11,2019-08-01,EUR
COM13359,International Flight Planning Solutions - Lebanon,PotCust,International Flight Planning Solutions,Asia,Middle East,Lebanon - LB - Asia,, 52 743,-100%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,New FSP,,FSP,0.00,0.00,0.00,0.00,0.00,0.00,1428,0,2019-04-25,USD
